store_id,timestamp,active_riders,orders_in_queue,avg_rider_wait_time
2,2024-01-01 05:15:00,6,0,1.37
3,2024-01-01 05:15:00,6,0,1.38
4,2024-01-01 05:15:00,14,0,1.36
5,2024-01-01 05:15:00,6,0,1.36
6,2024-01-01 05:15:00,9,2,0.8
7,2024-01-01 05:15:00,3,2,0.67
8,2024-01-01 05:15:00,9,3,1.0
9,2024-01-01 05:15:00,10,0,0.96
10,2024-01-01 05:15:00,8,3,0.76
11,2024-01-01 05:15:00,9,0,0.53
12,2024-01-01 05:15:00,6,1,1.36
1,2024-01-01 05:30:00,10,2,0.71
2,2024-01-01 05:30:00,9,2,1.39
3,2024-01-01 05:30:00,3,3,0.9
4,2024-01-01 05:30:00,13,1,0.81
5,2024-01-01 05:30:00,7,1,1.23
6,2024-01-01 05:30:00,9,0,0.95
7,2024-01-01 05:30:00,5,1,1.11
8,2024-01-01 05:30:00,8,3,1.34
9,2024-01-01 05:30:00,13,3,1.45
10,2024-01-01 05:30:00,9,0,1.46
11,2024-01-01 05:30:00,10,0,1.31
12,2024-01-01 05:30:00,5,2,1.37
1,2024-01-01 05:45:00,13,1,1.47
2,2024-01-01 05:45:00,10,3,1.24
3,2024-01-01 05:45:00,4,2,0.87
4,2024-01-01 05:45:00,12,2,1.1
5,2024-01-01 05:45:00,6,1,0.86
6,2024-01-01 05:45:00,6,0,1.42
7,2024-01-01 05:45:00,6,1,1.48
8,2024-01-01 05:45:00,10,3,1.47
9,2024-01-01 05:45:00,12,2,1.13
10,2024-01-01 05:45:00,9,1,1.44
11,2024-01-01 05:45:00,9,1,1.0
12,2024-01-01 05:45:00,7,0,0.5
1,2024-01-01 06:00:00,13,2,0.56
2,2024-01-01 06:00:00,8,1,1.0
3,2024-01-01 06:00:00,7,3,0.71
4,2024-01-01 06:00:00,10,3,0.97
5,2024-01-01 06:00:00,10,1,0.81
6,2024-01-01 06:00:00,8,2,0.59
7,2024-01-01 06:00:00,7,2,0.67
8,2024-01-01 06:00:00,10,0,1.45
9,2024-01-01 06:00:00,10,1,0.52
10,2024-01-01 06:00:00,6,0,0.7
11,2024-01-01 06:00:00,10,1,0.61
12,2024-01-01 06:00:00,6,3,1.42
1,2024-01-01 06:15:00,11,3,1.35
2,2024-01-01 06:15:00,8,1,0.67
3,2024-01-01 06:15:00,4,0,0.79
4,2024-01-01 06:15:00,10,1,0.67
5,2024-01-01 06:15:00,6,3,1.28
6,2024-01-01 06:15:00,6,2,1.12
7,2024-01-01 06:15:00,4,2,0.8
8,2024-01-01 06:15:00,10,3,1.5
9,2024-01-01 06:15:00,12,3,0.94
10,2024-01-01 06:15:00,9,0,1.38
11,2024-01-01 06:15:00,7,1,0.68
12,2024-01-01 06:15:00,3,0,0.67
1,2024-01-01 06:30:00,13,0,1.33
2,2024-01-01 06:30:00,7,0,0.73
3,2024-01-01 06:30:00,3,1,0.63
4,2024-01-01 06:30:00,10,1,1.41
5,2024-01-01 06:30:00,7,1,1.29
6,2024-01-01 06:30:00,8,2,0.71
7,2024-01-01 06:30:00,7,1,1.46
8,2024-01-01 06:30:00,6,1,1.04
9,2024-01-01 06:30:00,13,3,0.88
10,2024-01-01 06:30:00,7,2,0.64
11,2024-01-01 06:30:00,6,2,1.12
12,2024-01-01 06:30:00,6,1,0.95
1,2024-01-01 06:45:00,13,3,0.66
2,2024-01-01 06:45:00,7,1,0.92
3,2024-01-01 06:45:00,7,2,0.82
4,2024-01-01 06:45:00,11,3,1.48
5,2024-01-01 06:45:00,8,1,0.79
6,2024-01-01 06:45:00,8,1,0.69
7,2024-01-01 06:45:00,7,3,1.48
8,2024-01-01 06:45:00,9,3,0.72
9,2024-01-01 06:45:00,13,1,1.01
10,2024-01-01 06:45:00,8,0,1.47
11,2024-01-01 06:45:00,10,2,0.6
12,2024-01-01 06:45:00,4,1,0.67
1,2024-01-01 07:00:00,10,1,1.19
2,2024-01-01 07:00:00,9,3,1.31
3,2024-01-01 07:00:00,6,0,0.84
4,2024-01-01 07:00:00,10,3,1.23
5,2024-01-01 07:00:00,9,2,1.15
6,2024-01-01 07:00:00,7,3,0.68
7,2024-01-01 07:00:00,3,3,0.73
8,2024-01-01 07:00:00,8,2,1.49
9,2024-01-01 07:00:00,12,3,1.1
10,2024-01-01 07:00:00,7,3,1.22
11,2024-01-01 07:00:00,6,1,0.5
12,2024-01-01 07:00:00,5,3,1.01
1,2024-01-01 07:15:00,13,0,1.04
2,2024-01-01 07:15:00,7,0,0.8
3,2024-01-01 07:15:00,5,0,1.07
4,2024-01-01 07:15:00,13,0,0.96
5,2024-01-01 07:15:00,7,0,1.13
6,2024-01-01 07:15:00,8,3,1.08
7,2024-01-01 07:15:00,4,1,0.57
8,2024-01-01 07:15:00,9,0,1.35
9,2024-01-01 07:15:00,13,1,0.69
10,2024-01-01 07:15:00,8,3,0.82
11,2024-01-01 07:15:00,10,0,1.18
12,2024-01-01 07:15:00,5,0,1.28
1,2024-01-01 07:30:00,14,3,0.51
2,2024-01-01 07:30:00,10,3,0.77
3,2024-01-01 07:30:00,3,3,1.27
4,2024-01-01 07:30:00,13,0,1.17
5,2024-01-01 07:30:00,8,0,1.12
6,2024-01-01 07:30:00,6,0,1.35
7,2024-01-01 07:30:00,6,2,0.58
8,2024-01-01 07:30:00,8,2,1.11
9,2024-01-01 07:30:00,12,1,1.28
10,2024-01-01 07:30:00,10,2,0.7
11,2024-01-01 07:30:00,8,2,1.46
12,2024-01-01 07:30:00,7,1,0.99
1,2024-01-01 07:45:00,13,1,1.08
2,2024-01-01 07:45:00,6,3,1.18
3,2024-01-01 07:45:00,7,0,0.57
4,2024-01-01 07:45:00,12,2,0.52
5,2024-01-01 07:45:00,10,1,0.61
6,2024-01-01 07:45:00,8,0,0.92
7,2024-01-01 07:45:00,3,0,0.64
8,2024-01-01 07:45:00,8,2,0.87
9,2024-01-01 07:45:00,14,3,0.79
10,2024-01-01 07:45:00,6,2,0.94
11,2024-01-01 07:45:00,9,3,1.08
12,2024-01-01 07:45:00,3,3,0.64
1,2024-01-01 08:00:00,14,3,0.79
2,2024-01-01 08:00:00,9,3,0.53
3,2024-01-01 08:00:00,3,1,0.84
4,2024-01-01 08:00:00,13,1,0.77
5,2024-01-01 08:00:00,8,0,1.4
6,2024-01-01 08:00:00,8,0,0.69
7,2024-01-01 08:00:00,3,0,1.18
8,2024-01-01 08:00:00,9,2,1.31
9,2024-01-01 08:00:00,12,2,1.11
10,2024-01-01 08:00:00,7,1,0.98
11,2024-01-01 08:00:00,10,3,0.62
12,2024-01-01 08:00:00,3,2,1.18
1,2024-01-01 08:15:00,11,2,1.06
2,2024-01-01 08:15:00,6,3,1.14
3,2024-01-01 08:15:00,5,1,1.37
4,2024-01-01 08:15:00,13,1,1.37
5,2024-01-01 08:15:00,7,0,1.02
6,2024-01-01 08:15:00,9,0,1.03
7,2024-01-01 08:15:00,3,1,0.76
8,2024-01-01 08:15:00,6,0,1.29
9,2024-01-01 08:15:00,11,2,0.94
10,2024-01-01 08:15:00,6,2,1.06
11,2024-01-01 08:15:00,7,3,1.03
12,2024-01-01 08:15:00,6,2,0.98
1,2024-01-01 08:30:00,11,3,0.81
2,2024-01-01 08:30:00,8,0,0.81
3,2024-01-01 08:30:00,5,2,0.85
4,2024-01-01 08:30:00,11,0,0.73
5,2024-01-01 08:30:00,10,1,1.43
6,2024-01-01 08:30:00,8,1,1.29
7,2024-01-01 08:30:00,4,1,1.06
8,2024-01-01 08:30:00,8,2,1.4
9,2024-01-01 08:30:00,11,0,0.55
10,2024-01-01 08:30:00,9,3,1.16
11,2024-01-01 08:30:00,6,1,1.43
12,2024-01-01 08:30:00,4,3,0.55
1,2024-01-01 08:45:00,12,1,0.84
2,2024-01-01 08:45:00,8,1,1.36
3,2024-01-01 08:45:00,7,0,0.95
4,2024-01-01 08:45:00,14,1,1.14
5,2024-01-01 08:45:00,9,1,1.02
6,2024-01-01 08:45:00,6,2,1.15
7,2024-01-01 08:45:00,4,0,1.07
8,2024-01-01 08:45:00,6,3,1.08
9,2024-01-01 08:45:00,12,2,1.18
10,2024-01-01 08:45:00,9,0,0.55
11,2024-01-01 08:45:00,10,0,0.79
12,2024-01-01 08:45:00,6,2,0.58
1,2024-01-01 09:00:00,10,2,0.85
2,2024-01-01 09:00:00,6,1,1.15
3,2024-01-01 09:00:00,4,1,1.28
4,2024-01-01 09:00:00,12,0,1.46
5,2024-01-01 09:00:00,10,1,0.65
6,2024-01-01 09:00:00,10,2,1.04
7,2024-01-01 09:00:00,6,0,1.23
8,2024-01-01 09:00:00,9,2,1.43
9,2024-01-01 09:00:00,11,2,0.58
10,2024-01-01 09:00:00,8,0,1.11
11,2024-01-01 09:00:00,6,2,1.27
12,2024-01-01 09:00:00,3,3,1.27
1,2024-01-01 09:15:00,14,1,0.95
2,2024-01-01 09:15:00,6,2,1.36
3,2024-01-01 09:15:00,7,3,0.89
4,2024-01-01 09:15:00,12,3,1.3
5,2024-01-01 09:15:00,10,0,1.1
6,2024-01-01 09:15:00,6,3,0.69
7,2024-01-01 09:15:00,6,3,0.56
8,2024-01-01 09:15:00,7,1,1.03
9,2024-01-01 09:15:00,13,3,1.47
10,2024-01-01 09:15:00,6,1,1.48
11,2024-01-01 09:15:00,6,3,1.32
12,2024-01-01 09:15:00,3,0,0.59
1,2024-01-01 09:30:00,10,2,0.67
2,2024-01-01 09:30:00,9,3,1.06
3,2024-01-01 09:30:00,6,0,1.42
4,2024-01-01 09:30:00,13,2,1.09
5,2024-01-01 09:30:00,6,1,0.52
6,2024-01-01 09:30:00,9,3,1.32
7,2024-01-01 09:30:00,7,0,0.6
8,2024-01-01 09:30:00,10,0,0.92
9,2024-01-01 09:30:00,11,0,1.39
10,2024-01-01 09:30:00,6,2,0.96
11,2024-01-01 09:30:00,7,2,1.44
12,2024-01-01 09:30:00,4,2,0.92
1,2024-01-01 09:45:00,10,3,0.75
2,2024-01-01 09:45:00,8,0,1.23
3,2024-01-01 09:45:00,3,0,0.54
4,2024-01-01 09:45:00,10,2,0.51
5,2024-01-01 09:45:00,10,2,0.58
6,2024-01-01 09:45:00,8,3,1.33
7,2024-01-01 09:45:00,3,2,0.85
8,2024-01-01 09:45:00,6,3,0.51
9,2024-01-01 09:45:00,14,3,1.26
10,2024-01-01 09:45:00,6,2,0.88
11,2024-01-01 09:45:00,8,0,1.49
12,2024-01-01 09:45:00,3,3,0.8
1,2024-01-01 10:00:00,10,3,1.48
2,2024-01-01 10:00:00,6,3,1.47
3,2024-01-01 10:00:00,5,3,0.85
4,2024-01-01 10:00:00,14,1,1.4
5,2024-01-01 10:00:00,7,2,0.53
6,2024-01-01 10:00:00,10,2,0.57
7,2024-01-01 10:00:00,6,3,1.21
8,2024-01-01 10:00:00,6,1,1.13
9,2024-01-01 10:00:00,12,1,0.64
10,2024-01-01 10:00:00,9,1,0.62
11,2024-01-01 10:00:00,10,0,0.86
12,2024-01-01 10:00:00,6,0,0.67
1,2024-01-01 10:15:00,12,0,0.89
2,2024-01-01 10:15:00,10,1,0.55
3,2024-01-01 10:15:00,5,0,1.16
4,2024-01-01 10:15:00,10,0,1.15
5,2024-01-01 10:15:00,7,0,1.2
6,2024-01-01 10:15:00,7,2,1.11
7,2024-01-01 10:15:00,7,2,0.93
8,2024-01-01 10:15:00,7,1,0.84
9,2024-01-01 10:15:00,13,2,1.4
10,2024-01-01 10:15:00,8,1,0.97
11,2024-01-01 10:15:00,9,3,1.44
12,2024-01-01 10:15:00,5,0,0.8
1,2024-01-01 10:30:00,13,0,1.18
2,2024-01-01 10:30:00,8,3,0.65
3,2024-01-01 10:30:00,6,0,1.42
4,2024-01-01 10:30:00,12,0,1.42
5,2024-01-01 10:30:00,6,0,0.53
6,2024-01-01 10:30:00,10,0,0.75
7,2024-01-01 10:30:00,3,1,1.22
8,2024-01-01 10:30:00,7,0,1.47
9,2024-01-01 10:30:00,13,2,0.81
10,2024-01-01 10:30:00,8,1,1.02
11,2024-01-01 10:30:00,7,0,1.05
12,2024-01-01 10:30:00,6,3,0.77
1,2024-01-01 10:45:00,10,3,1.35
2,2024-01-01 10:45:00,9,2,1.47
3,2024-01-01 10:45:00,4,0,1.21
4,2024-01-01 10:45:00,14,1,0.7
5,2024-01-01 10:45:00,9,1,1.07
6,2024-01-01 10:45:00,8,3,1.11
7,2024-01-01 10:45:00,6,3,0.59
8,2024-01-01 10:45:00,7,0,1.3
9,2024-01-01 10:45:00,14,0,1.1
10,2024-01-01 10:45:00,10,1,1.03
11,2024-01-01 10:45:00,9,0,0.88
12,2024-01-01 10:45:00,6,3,1.44
1,2024-01-01 11:00:00,13,1,0.51
2,2024-01-01 11:00:00,6,3,0.68
3,2024-01-01 11:00:00,4,2,1.31
4,2024-01-01 11:00:00,13,2,0.67
5,2024-01-01 11:00:00,7,0,0.54
6,2024-01-01 11:00:00,6,2,0.56
7,2024-01-01 11:00:00,4,3,1.24
8,2024-01-01 11:00:00,6,0,0.89
9,2024-01-01 11:00:00,14,1,1.25
10,2024-01-01 11:00:00,10,1,1.1
11,2024-01-01 11:00:00,10,1,1.4
12,2024-01-01 11:00:00,7,1,1.49
1,2024-01-01 11:15:00,13,3,0.97
2,2024-01-01 11:15:00,8,3,1.39
3,2024-01-01 11:15:00,7,0,0.55
4,2024-01-01 11:15:00,11,3,0.52
5,2024-01-01 11:15:00,8,0,1.0
6,2024-01-01 11:15:00,6,2,1.44
7,2024-01-01 11:15:00,7,1,1.08
8,2024-01-01 11:15:00,6,1,0.66
9,2024-01-01 11:15:00,14,1,1.22
10,2024-01-01 11:15:00,7,1,1.23
11,2024-01-01 11:15:00,7,1,0.89
12,2024-01-01 11:15:00,4,3,1.2
1,2024-01-01 11:30:00,10,1,1.35
2,2024-01-01 11:30:00,6,1,0.56
3,2024-01-01 11:30:00,7,3,0.8
4,2024-01-01 11:30:00,13,3,1.04
5,2024-01-01 11:30:00,9,3,1.37
6,2024-01-01 11:30:00,10,0,1.27
7,2024-01-01 11:30:00,5,0,0.87
8,2024-01-01 11:30:00,8,3,0.9
9,2024-01-01 11:30:00,12,0,0.65
10,2024-01-01 11:30:00,9,3,1.2
11,2024-01-01 11:30:00,7,3,0.77
12,2024-01-01 11:30:00,5,0,0.6
1,2024-01-01 11:45:00,10,1,1.3
2,2024-01-01 11:45:00,8,3,0.59
3,2024-01-01 11:45:00,3,1,1.2
4,2024-01-01 11:45:00,12,2,0.6
5,2024-01-01 11:45:00,8,3,0.76
6,2024-01-01 11:45:00,10,3,1.14
7,2024-01-01 11:45:00,5,0,1.08
8,2024-01-01 11:45:00,8,2,1.0
9,2024-01-01 11:45:00,13,3,1.28
10,2024-01-01 11:45:00,7,3,1.25
11,2024-01-01 11:45:00,10,3,1.46
12,2024-01-01 11:45:00,3,3,0.66
1,2024-01-01 12:00:00,14,1,1.33
2,2024-01-01 12:00:00,9,0,0.7
3,2024-01-01 12:00:00,5,2,0.58
4,2024-01-01 12:00:00,12,0,0.51
5,2024-01-01 12:00:00,9,2,1.14
6,2024-01-01 12:00:00,8,1,1.27
7,2024-01-01 12:00:00,5,2,0.68
8,2024-01-01 12:00:00,6,0,1.35
9,2024-01-01 12:00:00,12,1,0.66
10,2024-01-01 12:00:00,10,3,0.71
11,2024-01-01 12:00:00,7,3,0.83
12,2024-01-01 12:00:00,6,2,1.5
1,2024-01-01 12:15:00,12,2,1.09
2,2024-01-01 12:15:00,9,2,0.82
3,2024-01-01 12:15:00,6,0,0.91
4,2024-01-01 12:15:00,13,0,1.22
5,2024-01-01 12:15:00,8,1,0.68
6,2024-01-01 12:15:00,10,0,0.7
7,2024-01-01 12:15:00,3,3,0.78
8,2024-01-01 12:15:00,7,0,1.08
9,2024-01-01 12:15:00,10,1,0.79
10,2024-01-01 12:15:00,8,1,1.09
11,2024-01-01 12:15:00,9,3,1.14
12,2024-01-01 12:15:00,4,3,1.02
1,2024-01-01 12:30:00,13,0,1.31
2,2024-01-01 12:30:00,8,1,1.11
3,2024-01-01 12:30:00,7,3,0.74
4,2024-01-01 12:30:00,12,3,1.48
5,2024-01-01 12:30:00,7,1,0.99
